conway,name,bowers,wiki
kΔ,Triakis triangular tiling,,https://en.wikipedia.org/wiki/Triakis_triangular_tiling
atI,Rectified truncated icosahedron,,https://en.wikipedia.org/wiki/Rectified_truncated_icosahedron
kQ,tetrakis square tiling,,https://en.wikipedia.org/wiki/Tetrakis_square_tiling
O,regular octahedron,,https://en.wikipedia.org/wiki/Regular_octahedron
aT,regular octahedron,,https://en.wikipedia.org/wiki/Regular_octahedron
T,regular tetrahedron,,https://en.wikipedia.org/wiki/Regular_tetrahedron
Y3,regular tetrahedron,,https://en.wikipedia.org/wiki/Regular_tetrahedron
D,regular dodecahedron,,https://en.wikipedia.org/wiki/Regular_dodecahedron
cT,chamfered tetrahedron,,https://en.wikipedia.org/wiki/Chamfered_tetrahedron
pT,tetrahedrally diminished dodecahedron,,https://en.wikipedia.org/wiki/Tetrahedrally_diminished_dodecahedron
dP7,heptagonal bipyramid,,https://en.wikipedia.org/wiki/Heptagonal_bipyramid
I,regular icosahedron,,https://en.wikipedia.org/wiki/Regular_icosahedron
sT,regular icosahedron,,https://en.wikipedia.org/wiki/Regular_icosahedron
A12,dodecagonal antiprism,,
A11,hendecagonal antiprism,,
kt5daD,,,
k4sC,,,
P4,quadrilateral prism,,
dk5sD,,,
cD,chamfered dodecahedron,,
Y7,heptagonal pyramid,,
A3,triangular antiprism,,
kt6dtT,,,
dP4,quadrilateral bipyramid,,
dP9,enneagonal bipyramid,,
Y8,octagonal pyramid,,
